iso_code,country,energy_metric,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2030_target
ALB,Albania,hydro_capacity_gw,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.46,1.46,1.46,1.48,1.51,1.63,1.78,1.72,1.8,1.91,2.05,2.1,2.16,2.39,2.51,2.49,2.52,2.52,2.486,2.486,2.486,2.486,2.486,2.486,2.51
ALB,Albania,solar_capacity_gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.1,0.21,0.31,0.297,0.347,0.398,0.448,0.499,0.549,0.49
ALB,Albania,wind_capacity_gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
ALB,Albania,renewables_share_elec,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
DZA,Algeria,solar_capacity_gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.03,0.06,0.26,0.35,0.37,0.37,0.37,0.37,0.45,0.46,0.46,0.483,0.502,0.521,0.54,0.559,0.578,15.575
DZA,Algeria,wind_capacity_gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,5.01
DZA,Algeria,biofuel_capacity_gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
DZA,Algeria,renewables_share_elec,0.203,0.271,0.222,0.9,0.818,1.657,0.638,0.604,0.71,0.792,0.38,0.997,1.1,0.559,0.393,0.324,0.486,0.845,1.074,1.071,1.114,0.95,0.944,0.949,0.95,1.0,1.005,1.01,1.015,1.02,1.024,27.0
ARG,Argentina,hydro_capacity_gw,8.61,8.64,8.79,8.81,8.93,8.95,8.95,9.19,9.19,9.57,9.57,10.1,10.14,10.14,10.14,10.14,10.2,10.27,10.32,10.34,10.38,10.38,10.39,10.39,9.2,10.148,10.148,10.148,10.148,10.148,10.148,13.215
ARG,Argentina,nuclear_capacity_gw,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.52,1.73,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.904,1.948,1.993,2.037,2.082,2.127,3.017
