iso_code,target_year,fuel_category,metric,collection_year,2030_target,variable
ALB,2030,Hydro,capacity_total_gw,2024,2.51,hydro_capacity_gw
ALB,2030,Renewables,share_of_generation_pct,2024,100.0,renewables_share_elec
ALB,2030,Solar,capacity_total_gw,2024,0.49,solar_capacity_gw
ALB,2030,Wind,capacity_total_gw,2024,0.3,wind_capacity_gw
ARE,2030,Clean,share_of_generation_pct,2023,32.0,low_carbon_share_elec
ARE,2030,Renewables,capacity_total_gw,2023,9.2,renewables_capacity_gw
ARG,2030,Fossil,capacity_total_gw,2023,31.585,fossil_capacity_gw
ARG,2030,Fossil,generation_twh,2023,97.681,fossil_electricity
ARG,2030,Fossil,share_of_generation_pct,2023,43.02,fossil_share_elec
ARG,2030,Hydro,capacity_total_gw,2023,13.215,hydro_capacity_gw
ARG,2030,Hydro,generation_twh,2023,49.286,hydro_electricity
ARG,2030,Hydro,share_of_generation_pct,2023,21.7,hydro_share_elec
ARG,2030,Nuclear,capacity_total_gw,2023,3.017,nuclear_capacity_gw
ARG,2030,Nuclear,generation_twh,2023,21.785,nuclear_electricity
ARG,2030,Nuclear,share_of_generation_pct,2023,9.59,nuclear_share_elec
AUS,2030,Coal,capacity_total_gw,2023,7.1,coal_capacity_gw
AUS,2030,Coal,generation_twh,2023,40.7,coal_electricity
AUS,2030,Coal,share_of_generation_pct,2023,16.6,coal_share_elec
AUS,2030,Gas,capacity_total_gw,2023,11.2,gas_capacity_gw
AUS,2030,Gas,generation_twh,2023,5.5,gas_electricity
AUS,2030,Gas,share_of_generation_pct,2023,2.2,gas_share_elec
AUS,2030,Hydro,capacity_total_gw,2023,7.2,hydro_capacity_gw
AUS,2030,Hydro,generation_twh,2023,15.3,hydro_electricity
AUS,2030,Hydro,share_of_generation_pct,2023,6.2,hydro_share_elec
AUS,2030,Solar,capacity_total_gw,2023,50.8,solar_capacity_gw
AUS,2030,Solar,generation_twh,2023,77.0,solar_electricity
AUS,2030,Solar,share_of_generation_pct,2023,31.4,solar_share_elec
AUS,2030,Wind,capacity_total_gw,2023,34.4,wind_capacity_gw
AUS,2030,Wind,generation_twh,2023,106.5,wind_electricity
AUS,2030,Wind,share_of_generation_pct,2023,43.5,wind_share_elec
AUT,2030,Bioenergy,capacity_total_gw,2023,0.93,biofuel_capacity_gw
AUT,2030,Bioenergy,generation_twh,2023,6.0,biofuel_electricity
AUT,2030,Bioenergy,share_of_generation_pct,2023,6.12,biofuel_share_elec
AUT,2030,Fossil,generation_twh,2024,6.0,fossil_electricity
AUT,2030,Fossil,share_of_generation_pct,2024,6.2,fossil_share_elec
AUT,2030,Gas,generation_twh,2023,7.0,gas_electricity
AUT,2030,Gas,share_of_generation_pct,2023,7.14,gas_share_elec
AUT,2030,Hydro,capacity_total_gw,2023,14.97,hydro_capacity_gw
AUT,2030,Hydro,generation_twh,2023,47.0,hydro_electricity
AUT,2030,Hydro,share_of_generation_pct,2023,47.96,hydro_share_elec
AUT,2030,Solar,capacity_total_gw,2023,12.5,solar_capacity_gw
AUT,2030,Solar,generation_twh,2023,19.0,solar_electricity
AUT,2030,Solar,share_of_generation_pct,2023,19.39,solar_share_elec
AUT,2030,Wind,capacity_total_gw,2023,7.3,wind_capacity_gw
AUT,2030,Wind,generation_twh,2023,19.0,wind_electricity
AUT,2030,Wind,share_of_generation_pct,2023,19.39,wind_share_elec
BEL,2030,Bioenergy,capacity_total_gw,2023,0.9,biofuel_capacity_gw
BEL,2030,Gas,capacity_total_gw,2023,6.2,gas_capacity_gw
BEL,2030,Gas,generation_twh,2023,24.65,gas_electricity
BEL,2030,Gas,share_of_generation_pct,2023,35.09896056,gas_share_elec
BEL,2030,Hydro,capacity_total_gw,2023,0.15,hydro_capacity_gw
BEL,2030,Renewables,share_of_generation_pct,2023,51.0,renewables_share_elec
BEL,2030,Solar,capacity_total_gw,2023,11.6,solar_capacity_gw
BEL,2030,Solar,generation_twh,2023,11.17,solar_electricity
BEL,2030,Solar,share_of_generation_pct,2023,15.90488395,solar_share_elec
BEL,2030,Wind,capacity_total_gw,2023,11.1,wind_capacity_gw
BEL,2030,Wind,generation_twh,2023,31.62,wind_electricity
BEL,2030,Wind,share_of_generation_pct,2023,45.02349423,wind_share_elec
BGD,2030,Coal,capacity_total_gw,2024,10.6,coal_capacity_gw
BGD,2030,Coal,share_of_generation_pct,2024,19.0,coal_share_elec
BGD,2030,Gas,capacity_total_gw,2024,25.4,gas_capacity_gw
BGD,2030,Gas,share_of_generation_pct,2024,52.0,gas_share_elec
BGD,2030,Hydro,capacity_total_gw,2024,0.4,hydro_capacity_gw
BGD,2030,Nuclear,capacity_total_gw,2024,1.9,nuclear_capacity_gw
BGD,2030,Nuclear,share_of_generation_pct,2024,8.0,nuclear_share_elec
BGD,2030,Solar,capacity_total_gw,2024,3.0,solar_capacity_gw
BGD,2030,Solar,share_of_generation_pct,2024,5.0,solar_share_elec
BGD,2030,Wind,capacity_total_gw,2024,1.1,wind_capacity_gw
BGD,2030,Wind,share_of_generation_pct,2024,1.0,wind_share_elec
BGR,2030,Bioenergy,capacity_total_gw,2024,0.3,biofuel_capacity_gw
BGR,2030,Coal,capacity_total_gw,2023,2.2,coal_capacity_gw
BGR,2030,Fossil,generation_twh,2024,7.064,fossil_electricity
BGR,2030,Fossil,share_of_generation_pct,2024,16.93476854,fossil_share_elec
BGR,2030,Hydro,capacity_total_gw,2023,4.1,hydro_capacity_gw
BGR,2030,Nuclear,capacity_total_gw,2023,2.0,nuclear_capacity_gw
BGR,2030,Nuclear,generation_twh,2024,15.495,nuclear_electricity
BGR,2030,Nuclear,share_of_generation_pct,2024,37.14669288,nuclear_share_elec
BGR,2030,Renewables,generation_twh,2024,19.154,renewables_electricity
BGR,2030,Renewables,share_of_generation_pct,2024,45.91853859,renewables_share_elec
BGR,2030,Solar,capacity_total_gw,2023,8.2,solar_capacity_gw
BGR,2030,Wind,capacity_total_gw,2023,2.7,wind_capacity_gw
BGR,2030,Wind,capacity_total_gw,2026,2.49,wind_capacity_gw
BIH,2030,Bioenergy,capacity_total_gw,2024,0.025,biofuel_capacity_gw
BIH,2030,Bioenergy,generation_twh,2024,0.043,biofuel_electricity
BIH,2030,Hydro,capacity_total_gw,2024,2.527,hydro_capacity_gw
BIH,2030,Hydro,generation_twh,2024,6.563,hydro_electricity
BIH,2030,Renewables,share_of_consumption_pct,2024,70.1,renewables_share_energy
BIH,2030,Solar,capacity_total_gw,2024,1.492,solar_capacity_gw
BIH,2030,Solar,generation_twh,2024,1.639,solar_electricity
BIH,2030,Wind,capacity_total_gw,2024,0.6,wind_capacity_gw
BIH,2030,Wind,generation_twh,2024,1.261,wind_electricity
BRA,2030,Bioenergy,capacity_total_gw,2023,17.17,biofuel_capacity_gw
BRA,2030,Bioenergy,generation_twh,2023,64.88,biofuel_electricity
BRA,2030,Bioenergy,share_of_generation_pct,2023,7.08,biofuel_share_elec
BRA,2030,Coal,capacity_total_gw,2023,3.18,coal_capacity_gw
BRA,2030,Coal,generation_twh,2023,6.31,coal_electricity
BRA,2030,Coal,share_of_generation_pct,2023,0.69,coal_share_elec
BRA,2030,Gas,capacity_total_gw,2023,33.5,gas_capacity_gw
BRA,2030,Gas,generation_twh,2023,89.55,gas_electricity
BRA,2030,Gas,share_of_generation_pct,2023,9.77,gas_share_elec
BRA,2030,Hydro,capacity_total_gw,2023,116.81,hydro_capacity_gw
BRA,2030,Hydro,generation_twh,2023,506.89,hydro_electricity
BRA,2030,Hydro,share_of_generation_pct,2023,55.28,hydro_share_elec
BRA,2030,Nuclear,capacity_total_gw,2023,1.99,nuclear_capacity_gw
BRA,2030,Nuclear,generation_twh,2023,25.05,nuclear_electricity
BRA,2030,Nuclear,share_of_generation_pct,2023,2.73,nuclear_share_elec
BRA,2030,Solar,capacity_total_gw,2023,47.08,solar_capacity_gw
