iso_code,country,energy_metric,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
AFG,Afghanistan,hydro_capacity_gw,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.2,0.21,0.21,0.24,0.24,0.27,0.28,0.28,0.28,0.33,0.35,0.35,0.35,0.35,0.37,0.47,0.47,0.47,0.426,0.426,0.426,0.426,0.426,0.426
AFG,Afghanistan,solar_capacity_gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.059,0.062,0.065,0.068,0.071,0.075
AFG,Afghanistan,wind_capacity_gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Afghanistan,biofuel_capacity_gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Afghanistan,nuclear_capacity_gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Afghanistan,coal_capacity_gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Afghanistan,gas_capacity_gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.032,0.034,0.036,0.038,0.039,0.041
AFG,Afghanistan,renewables_capacity_gw,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.2,0.21,0.21,0.24,0.24,0.29,0.3,0.3,0.3,0.35,0.37,0.37,0.4,0.4,0.42,0.52,0.52,0.52,0.485,0.488,0.491,0.494,0.497,0.501
AFG,Afghanistan,fossil_capacity_gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.032,0.034,0.036,0.038,0.039,0.041
AFG,Afghanistan,hydro_share_elec,100.0,92.593,93.333,87.5,90.323,90.769,81.013,83.333,80.597,92.857,92.593,85.714,87.654,85.149,87.387,88.496,88.696,87.5,85.321,89.706,91.667,88.542,86.047,86.207,86.364,81.811,81.04,80.284,79.542,78.814,78.099
